TIMESTAMP           | PROVID | VOICE_TAG                           | STAT  | FILE
2026-03-08 19:30:24 | Azure  | ar-YE-MaryamNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\AR-YE\ar-YE-MaryamNeural.mp3
2026-03-08 19:30:25 | Azure  | ar-YE-SalehNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\AR-YE\ar-YE-SalehNeural.mp3
2026-03-08 19:30:26 | Azure  | as-IN-YashicaNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\AS-IN\as-IN-YashicaNeural.mp3
2026-03-08 19:30:27 | Azure  | as-IN-PriyomNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\AS-IN\as-IN-PriyomNeural.mp3
2026-03-08 19:30:27 | Azure  | az-AZ-BanuNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\AZ-AZ\az-AZ-BanuNeural.mp3
2026-03-08 19:30:28 | Azure  | az-AZ-BabekNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\AZ-AZ\az-AZ-BabekNeural.mp3
2026-03-08 19:30:29 | Azure  | bg-BG-KalinaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BG-BG\bg-BG-KalinaNeural.mp3
2026-03-08 19:30:29 | Azure  | bg-BG-BorislavNeural                | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BG-BG\bg-BG-BorislavNeural.mp3
2026-03-08 19:30:30 | Azure  | bn-BD-NabanitaNeural                | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BN-BD\bn-BD-NabanitaNeural.mp3
2026-03-08 19:30:31 | Azure  | bn-BD-PradeepNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BN-BD\bn-BD-PradeepNeural.mp3
2026-03-08 19:30:32 | Azure  | bn-IN-TanishaaNeural                | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BN-IN\bn-IN-TanishaaNeural.mp3
2026-03-08 19:30:33 | Azure  | bn-IN-BashkarNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BN-IN\bn-IN-BashkarNeural.mp3
2026-03-08 19:30:34 | Azure  | bs-BA-VesnaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BS-BA\bs-BA-VesnaNeural.mp3
2026-03-08 19:30:35 | Azure  | bs-BA-GoranNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\BS-BA\bs-BA-GoranNeural.mp3
2026-03-08 19:30:35 | Azure  | ca-ES-JoanaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CA-ES\ca-ES-JoanaNeural.mp3
2026-03-08 19:30:36 | Azure  | ca-ES-EnricNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CA-ES\ca-ES-EnricNeural.mp3
2026-03-08 19:30:37 | Azure  | ca-ES-AlbaNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CA-ES\ca-ES-AlbaNeural.mp3
2026-03-08 19:30:37 | Azure  | cs-CZ-VlastaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CS-CZ\cs-CZ-VlastaNeural.mp3
2026-03-08 19:30:38 | Azure  | cs-CZ-AntoninNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CS-CZ\cs-CZ-AntoninNeural.mp3
2026-03-08 19:30:38 | Azure  | cy-GB-NiaNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CY-GB\cy-GB-NiaNeural.mp3
2026-03-08 19:30:39 | Azure  | cy-GB-AledNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\CY-GB\cy-GB-AledNeural.mp3
2026-03-08 19:30:40 | Azure  | da-DK-ChristelNeural                | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DA-DK\da-DK-ChristelNeural.mp3
2026-03-08 19:30:41 | Azure  | da-DK-JeppeNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DA-DK\da-DK-JeppeNeural.mp3
2026-03-08 19:30:42 | Azure  | de-AT-IngridNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-AT\de-AT-IngridNeural.mp3
2026-03-08 19:30:42 | Azure  | de-AT-JonasNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-AT\de-AT-JonasNeural.mp3
2026-03-08 19:30:43 | Azure  | de-CH-LeniNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-CH\de-CH-LeniNeural.mp3
2026-03-08 19:30:43 | Azure  | de-CH-JanNeural                     | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-CH\de-CH-JanNeural.mp3
2026-03-08 19:30:44 | Azure  | de-DE-KatjaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-KatjaNeural.mp3
2026-03-08 19:30:44 | Azure  | de-DE-ConradNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-ConradNeural.mp3
2026-03-08 19:30:45 | Azure  | de-DE-AmalaNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-AmalaNeural.mp3
2026-03-08 19:30:46 | Azure  | de-DE-BerndNeural                   | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-BerndNeural.mp3
2026-03-08 19:30:46 | Azure  | de-DE-ChristophNeural               | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-ChristophNeural.mp3
2026-03-08 19:30:47 | Azure  | de-DE-ElkeNeural                    | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-ElkeNeural.mp3
2026-03-08 19:30:47 | Azure  | de-DE-GiselaNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-GiselaNeural.mp3
2026-03-08 19:30:48 | Azure  | de-DE-KasperNeural                  | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-KasperNeural.mp3
2026-03-08 19:30:49 | Azure  | de-DE-KillianNeural                 | OK    | D:\RecordingStudio\DubbingToolkit\voices\voices_output\azure\DE-DE\de-DE-KillianNeural.mp3
